Player,Pos,Min,Gls,Ast,xG,npxG,xA,Sh,SoT,Fls,Fld,Crs,TklW,Int,CrdY,CrdR,year,fantasy_points,Position Group,League
Roberto Firmino,FW,86.0,0,1,0.9,0.9,0.4,4,1,0,1,0,1,0,0,0,2019,10.0,Forward,PL
Divock Origi,LW,74.0,1,0,0.2,0.2,0.0,1,1,0,2,4,3,1,0,0,2019,15.0,Forward,PL
Sadio Mané,LW,16.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2019,1.0,Forward,PL
Mohamed Salah,RW,90.0,1,1,0.3,0.3,0.2,2,1,1,1,7,0,0,0,0,2019,17.5,Forward,PL
Teemu Pukki,FW,83.0,1,0,0.4,0.4,0.1,3,1,0,1,0,1,1,0,0,2019,15.0,Forward,PL
Josip Drmić,FW,7.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2019,1.0,Forward,PL
Todd Cantwell,LW,90.0,0,0,0.0,0.0,0.1,0,0,0,3,0,0,0,0,0,2019,1.0,Forward,PL
Emi Buendía,RW,90.0,0,1,0.1,0.1,0.5,2,2,1,1,1,1,1,1,0,2019,8.0,Forward,PL
Sébastien Haller,FW,90.0,0,0,0.1,0.1,0.0,1,1,0,0,0,3,2,0,0,2019,5.5,Forward,PL
Michail Antonio,LW,45.0,0,0,0.0,0.0,0.1,0,0,0,0,1,1,1,0,0,2019,2.0,Forward,PL
Felipe Anderson,RW,66.0,0,0,0.0,0.0,0.0,0,0,1,1,2,0,0,1,0,2019,-2.0,Forward,PL
Javier Hernández,FW,24.0,0,0,0.4,0.4,0.0,2,1,0,0,0,0,0,0,0,2019,3.5,Forward,PL
Gabriel Jesus,FW,69.0,1,0,0.6,0.6,0.0,2,2,3,2,0,1,0,0,0,2019,12.5,Forward,PL
Sergio Agüero,FW,21.0,1,0,0.8,0.0,0.0,0,0,0,0,0,0,0,0,0,2019,11.0,Forward,PL
Raheem Sterling,LW,90.0,3,0,1.4,1.4,0.0,4,4,3,2,0,1,1,1,0,2019,35.0,Forward,PL
Riyad Mahrez,RW,90.0,0,2,0.1,0.1,1.0,3,1,1,1,0,3,2,0,0,2019,15.5,Forward,PL
Ashley Barnes,FW,84.0,2,0,0.5,0.5,0.0,4,3,1,1,0,0,0,0,0,2019,26.5,Forward,PL
Jay Rodriguez,FW,6.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2019,1.0,Forward,PL
Chris Wood,FW,90.0,0,0,0.0,0.0,0.0,1,0,1,1,2,0,0,0,0,2019,0.5,Forward,PL
Che Adams,FW,73.0,0,0,0.3,0.3,0.0,2,0,4,0,0,0,0,0,0,2019,-2.0,Forward,PL
Sofiane Boufal,LW,17.0,0,0,0.0,0.0,0.1,0,0,0,0,0,0,0,0,0,2019,1.0,Forward,PL
Michael Obafemi,RW,24.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,2019,0.0,Forward,PL
Callum Wilson,FW,90.0,0,0,0.4,0.4,0.0,1,1,2,1,1,0,0,0,0,2019,1.0,Forward,PL
David McGoldrick,FW,63.0,0,0,0.2,0.2,0.0,2,1,3,3,0,1,0,0,0,2019,1.0,Forward,PL
Oliver McBurnie,FW,27.0,0,0,0.3,0.3,0.0,1,0,0,0,0,0,0,0,0,2019,1.5,Forward,PL
Callum Robinson,FW,90.0,0,0,0.2,0.2,0.0,2,1,4,0,0,1,2,0,0,2019,1.0,Forward,PL
Billy Sharp,FW,8.0,1,0,0.4,0.4,0.0,1,1,1,0,0,0,0,0,0,2019,12.0,Forward,PL
Troy Deeney,FW,90.0,0,0,0.0,0.0,0.1,1,1,2,1,0,0,0,0,0,2019,1.0,Forward,PL
Andre Gray,FW,75.0,0,0,0.3,0.3,0.0,1,1,1,0,0,0,0,0,0,2019,2.0,Forward,PL
Isaac Success,FW,15.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,2019,1.0,Forward,PL
Glenn Murray,FW,64.0,0,0,0.0,0.0,0.0,0,0,2,2,0,0,0,0,0,2019,-1.0,Forward,PL
Neal Maupay,FW,26.0,1,0,0.4,0.4,0.0,1,1,0,1,0,0,0,0,0,2019,13.0,Forward,PL
Jordan Ayew,FW,65.0,0,0,0.4,0.4,0.0,1,1,0,5,0,0,1,0,0,2019,3.5,Forward,PL
Wilfried Zaha,FW,25.0,0,0,0.1,0.1,0.0,1,0,0,1,0,0,0,0,0,2019,1.5,Forward,PL
Christian Benteke,FW,83.0,0,0,0.0,0.0,0.4,1,0,2,0,0,2,1,0,0,2019,1.0,Forward,PL
Connor Wickham,FW,7.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,2019,0.0,Forward,PL
Dominic Calvert-Lewin,FW,69.0,0,0,0.1,0.1,0.0,1,0,0,1,0,0,0,0,0,2019,1.5,Forward,PL
Moise Kean,FW,21.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,2019,1.0,Forward,PL
Bernard,LW,90.0,0,0,0.0,0.0,0.1,0,0,2,0,1,0,0,1,0,2019,-3.0,Forward,PL
Richarlison,RW,90.0,0,0,0.1,0.1,0.0,3,0,2,4,3,3,1,0,0,2019,2.5,Forward,PL
Harry Kane,FW,90.0,2,0,0.8,0.8,0.1,7,2,3,0,3,0,0,0,0,2019,24.5,Forward,PL
Lucas Moura,FW,90.0,0,1,0.3,0.3,0.0,3,1,0,0,1,1,0,0,0,2019,9.5,Forward,PL
Georges-Kévin N'Koudou,LW,2.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,2019,1.5,Forward,PL
Wesley Moraes,FW,74.0,0,0,0.0,0.0,0.0,1,1,1,1,0,1,0,0,0,2019,2.5,Forward,PL
Jonathan Kodjia,FW,16.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2019,1.0,Forward,PL
Jamie Vardy,FW,90.0,0,0,0.0,0.0,0.0,0,0,0,0,2,0,0,0,0,2019,1.0,Forward,PL
Diogo Jota,FW,76.0,0,0,0.2,0.2,0.1,3,0,2,0,0,1,0,0,0,2019,1.0,Forward,PL
Patrick Cutrone,FW,14.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,2019,0.0,Forward,PL
Raúl Jiménez,FW,90.0,0,0,0.2,0.2,0.0,2,2,1,0,0,0,2,0,0,2019,5.0,Forward,PL
Joelinton,FW,90.0,0,0,0.3,0.3,0.0,4,1,0,0,0,1,1,0,0,2019,5.5,Forward,PL
Miguel Almirón,FW,90.0,0,0,0.1,0.1,0.0,2,0,1,2,2,0,0,1,0,2019,-1.0,Forward,PL
Pierre-Emerick Aubameyang,FW,90.0,1,0,0.7,0.7,0.0,4,2,0,0,3,0,0,0,0,2019,16.0,Forward,PL
Reiss Nelson,LW,71.0,0,0,0.0,0.0,0.1,0,0,1,1,2,0,0,1,0,2019,-2.0,Forward,PL
Nicolas Pépé,LW,19.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,2019,1.0,Forward,PL
Henrikh Mkhitaryan,RW,84.0,0,0,0.2,0.2,0.1,1,0,1,2,3,0,0,1,0,2019,-1.5,Forward,PL
Martinelli,RW,6.0,0,0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,2019,0.0,Forward,PL
Anthony Martial,FW,90.0,1,0,0.6,0.6,0.1,4,2,3,1,2,0,0,1,0,2019,11.0,Forward,PL
Marcus Rashford,LW,86.0,2,0,1.1,0.4,0.0,2,1,1,3,1,0,0,0,0,2019,22.5,Forward,PL
Mason Greenwood,LW,4.0,0,0,0.1,0.1,0.0,1,0,0,0,0,0,0,0,0,2019,1.5,Forward,PL
Jesse Lingard,RW,86.0,0,0,0.0,0.0,0.0,0,0,4,1,0,0,0,1,0,2019,-5.0,Forward,PL
Daniel James,RW,16.0,1,0,0.2,0.2,0.0,1,1,0,2,2,0,0,0,0,2019,13.0,Forward,PL
Tammy Abraham,FW,66.0,0,0,0.2,0.2,0.0,2,0,3,0,0,1,0,1,0,2019,-2.5,Forward,PL
Olivier Giroud,FW,24.0,0,0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,2019,0.0,Forward,PL
Ross Barkley,LW,58.0,0,0,0.1,0.1,0.0,2,1,0,0,0,0,0,0,0,2019,3.5,Forward,PL
Christian Pulisic,LW,32.0,0,0,0.0,0.0,0.0,1,0,0,1,2,0,0,0,0,2019,1.5,Forward,PL
Pedro,RW,90.0,0,0,0.2,0.2,0.2,4,1,0,2,2,0,3,0,0,2019,6.0,Forward,PL
Alexandre Lacazette,FW,71.0,1,0,0.3,0.3,0.0,3,2,0,0,0,0,0,0,0,2019,15.5,Forward,PL
Reiss Nelson,LW,45.0,0,0,0.1,0.1,0.0,2,1,2,0,1,0,0,0,0,2019,1.5,Forward,PL
Nicolas Pépé,LW,45.0,0,0,0.0,0.0,0.2,1,1,0,0,2,0,0,0,0,2019,3.0,Forward,PL
Pierre-Emerick Aubameyang,RW,90.0,1,0,0.2,0.2,0.1,3,2,0,0,4,0,0,1,0,2019,13.5,Forward,PL
Ashley Barnes,FW,90.0,1,0,0.7,0.7,0.0,5,3,2,3,0,0,1,1,0,2019,14.5,Forward,PL
Chris Wood,FW,61.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2019,1.0,Forward,PL
Jay Rodriguez,FW,29.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,2019,1.5,Forward,PL
Teemu Pukki,FW,90.0,3,0,1.1,1.1,0.2,7,6,0,0,2,1,0,0,0,2019,44.0,Forward,PL
Emi Buendía,LW,90.0,0,0,0.1,0.1,0.2,1,0,1,1,11,0,0,0,0,2019,0.5,Forward,PL
Todd Cantwell,RW,90.0,0,2,0.2,0.2,0.8,1,1,2,1,0,0,0,0,0,2019,11.0,Forward,PL
Joelinton,FW,67.0,0,0,0.2,0.2,0.0,2,0,2,1,0,3,0,1,0,2019,-0.5,Forward,PL
Yoshinori Mutō,FW,23.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,2019,0.0,Forward,PL
Miguel Almirón,FW,90.0,0,0,0.0,0.0,0.0,1,0,0,1,0,0,0,0,0,2019,1.5,Forward,PL
Glenn Murray,FW,74.0,0,0,0.3,0.3,0.3,1,0,2,2,0,0,0,0,0,2019,-0.5,Forward,PL
Florin Andone,FW,16.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,2019,1.0,Forward,PL
Leandro Trossard,LW,85.0,1,0,0.5,0.5,0.0,4,1,1,0,1,0,0,0,0,2019,13.5,Forward,PL
Aaron Mooy,LW,5.0,0,0,0.0,0.0,0.0,0,0,0,0,2,0,0,0,0,2019,1.0,Forward,PL
Pascal Groß,RW,67.0,0,0,0.1,0.1,0.6,1,0,1,0,5,3,0,0,0,2019,2.0,Forward,PL
Neal Maupay,RW,23.0,0,0,0.3,0.3,0.0,2,0,0,1,1,1,0,0,0,2019,2.5,Forward,PL
Javier Hernández,FW,83.0,1,0,0.3,0.3,0.0,1,1,0,0,1,0,0,0,0,2019,13.0,Forward,PL
Carlos Sánchez,FW,7.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2019,1.0,Forward,PL
Dominic Calvert-Lewin,FW,72.0,0,0,0.0,0.0,0.0,0,0,1,1,0,2,1,0,0,2019,1.5,Forward,PL
Moise Kean,FW,18.0,0,0,0.4,0.4,0.0,2,0,0,1,0,0,0,0,0,2019,2.0,Forward,PL
Bernard,LW,90.0,1,0,0.1,0.1,0.1,2,1,3,1,1,3,1,0,0,2019,12.5,Forward,PL
Richarlison,RW,63.0,0,0,0.3,0.3,0.0,3,0,0,2,1,1,2,0,0,2019,4.0,Forward,PL
Theo Walcott,RW,27.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,2019,1.0,Forward,PL
Troy Deeney,FW,90.0,0,0,0.6,0.6,0.0,2,1,1,1,0,1,0,0,0,2019,3.0,Forward,PL
Gerard Deulofeu,FW,79.0,0,0,0.0,0.0,0.6,0,0,1,0,6,1,0,0,0,2019,0.5,Forward,PL
Tom Cleverley,FW,11.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2019,1.0,Forward,PL
Andre Gray,FW,7.0,0,0,0.0,0.0,0.1,0,0,0,0,0,0,0,0,0,2019,1.0,Forward,PL
Nathan Redmond,FW,90.0,0,0,0.0,0.0,0.1,1,0,1,0,0,1,1,0,0,2019,1.5,Forward,PL
Che Adams,FW,68.0,0,0,0.2,0.2,0.0,2,0,0,1,2,1,0,0,0,2019,2.5,Forward,PL
Stuart Armstrong,FW,22.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2019,1.0,Forward,PL
Roberto Firmino,FW,90.0,1,0,0.4,0.4,0.0,2,1,1,1,0,0,1,0,0,2019,13.0,Forward,PL
Sadio Mané,LW,90.0,1,1,0.2,0.2,0.9,2,2,1,3,1,1,0,0,0,2019,19.5,Forward,PL
Mohamed Salah,RW,79.0,0,0,0.4,0.4,0.0,3,1,0,0,2,0,0,0,0,2019,4.0,Forward,PL
Divock Origi,LW,11.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2019,1.0,Forward,PL
Wesley Moraes,FW,90.0,0,0,0.2,0.2,0.3,2,1,1,1,0,0,0,0,0,2019,2.5,Forward,PL
Anwar El Ghazi,LW,75.0,0,0,0.3,0.3,0.0,3,0,0,0,6,0,0,0,0,2019,2.5,Forward,PL
Jota,RW,15.0,0,0,0.0,0.0,0.1,1,1,0,0,0,0,0,0,0,2019,3.0,Forward,PL
Trézéguet,RW,87.0,0,0,0.4,0.4,0.0,3,1,2,1,4,0,0,0,0,2019,2.0,Forward,PL
Keinan Davis,LW,3.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2019,1.0,Forward,PL
Callum Wilson,FW,90.0,0,0,0.0,0.0,0.2,1,0,3,3,0,0,0,0,0,2019,-1.5,Forward,PL
Sergio Agüero,FW,66.0,1,0,0.6,0.6,0.1,3,1,1,0,0,0,0,0,0,2019,13.0,Forward,PL
Gabriel Jesus,FW,24.0,0,0,0.5,0.5,0.0,5,0,1,0,0,0,0,0,0,2019,2.5,Forward,PL
Raheem Sterling,LW,90.0,1,0,0.6,0.6,0.2,5,1,2,1,2,3,0,1,0,2019,12.5,Forward,PL
Bernardo Silva,RW,80.0,0,0,0.5,0.5,0.2,5,1,4,1,2,0,2,0,0,2019,2.0,Forward,PL
Riyad Mahrez,RW,10.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,2019,1.0,Forward,PL
Harry Kane,FW,90.0,0,0,0.0,0.0,0.0,1,0,0,2,0,0,0,0,0,2019,1.5,Forward,PL
Christian Eriksen,LW,90.0,0,0,0.0,0.0,0.0,0,0,1,0,0,2,1,0,0,2019,1.5,Forward,PL
Moussa Sissoko,RW,90.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,2019,1.0,Forward,PL
Giovani Lo Celso,RW,5.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,2019,1.0,Forward,PL
Lucas Moura,RW,34.0,1,0,0.2,0.2,0.0,1,1,1,0,0,0,0,0,0,2019,12.0,Forward,PL
David McGoldrick,FW,89.0,0,0,0.5,0.5,0.0,2,1,0,1,0,3,0,0,0,2019,5.0,Forward,PL
Phil Jagielka,FW,1.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,2019,1.5,Forward,PL
Callum Robinson,FW,56.0,0,0,0.2,0.2,0.0,2,0,0,1,2,0,0,0,0,2019,2.0,Forward,PL
Oliver McBurnie,FW,34.0,0,0,0.3,0.3,0.0,2,0,1,0,0,0,1,0,0,2019,1.5,Forward,PL
Wilfried Zaha,FW,90.0,0,0,0.0,0.0,0.0,1,0,1,5,0,0,0,0,0,2019,0.5,Forward,PL
Christian Benteke,FW,90.0,0,0,0.1,0.1,0.0,1,1,0,3,0,1,0,0,0,2019,3.5,Forward,PL
Connor Wickham,FW,8.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,2019,0.0,Forward,PL
Olivier Giroud,FW,61.0,0,0,0.1,0.1,0.4,1,1,0,0,0,0,0,0,0,2019,3.0,Forward,PL
Tammy Abraham,FW,29.0,0,0,0.2,0.2,0.0,2,0,0,0,0,0,0,0,0,2019,2.0,Forward,PL
Christian Pulisic,LW,71.0,0,0,0.0,0.0,0.0,0,0,1,1,2,0,0,0,0,2019,0.0,Forward,PL
Willian,LW,19.0,0,0,0.0,0.0,0.0,1,0,0,1,2,0,0,0,0,2019,1.5,Forward,PL
Pedro,RW,90.0,0,0,0.0,0.0,0.1,1,0,2,2,3,2,1,0,0,2019,1.0,Forward,PL
Jamie Vardy,FW,90.0,0,0,0.1,0.1,0.0,1,0,2,0,1,0,0,0,0,2019,-0.5,Forward,PL
Diogo Jota,FW,86.0,0,0,0.0,0.0,0.0,0,0,2,2,1,1,1,0,0,2019,0.0,Forward,PL
Pedro Neto,FW,4.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,2019,1.0,Forward,PL
Raúl Jiménez,FW,90.0,0,0,0.1,0.1,0.0,2,0,1,0,1,1,0,0,0,2019,1.5,Forward,PL
Anthony Martial,FW,90.0,1,0,0.2,0.2,0.0,1,1,1,1,1,0,0,0,0,2019,12.0,Forward,PL
Marcus Rashford,LW,89.0,0,1,0.1,0.1,0.2,2,0,0,2,4,0,0,0,0,2019,7.0,Forward,PL
Andreas Pereira,LW,1.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,2019,0.0,Forward,PL
Daniel James,RW,89.0,0,0,0.1,0.1,0.0,1,0,1,6,6,2,1,1,0,2019,0.0,Forward,PL
Mason Greenwood,RW,1.0,0,0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,2019,1.5,Forward,PL
Wesley Moraes,FW,90.0,1,0,0.5,0.5,0.1,2,1,1,1,1,0,0,0,0,2019,12.5,Forward,PL
Dominic Calvert-Lewin,FW,90.0,0,0,0.2,0.2,0.0,1,0,4,2,0,0,0,1,0,2019,-4.5,Forward,PL
Bernard,LW,62.0,0,0,0.0,0.0,0.0,0,0,1,2,3,1,0,0,0,2019,0.5,Forward,PL
Moise Kean,LW,28.0,0,0,0.0,0.0,0.2,0,0,3,0,0,0,0,0,0,2019,-2.0,Forward,PL
Richarlison,RW,78.0,0,0,0.0,0.0,0.0,1,0,1,1,3,1,1,0,0,2019,1.5,Forward,PL
Theo Walcott,RW,12.0,0,0,0.2,0.2,0.1,1,0,0,0,2,0,0,0,0,2019,1.5,Forward,PL
Teemu Pukki,FW,90.0,1,1,0.2,0.2,0.5,2,2,1,0,0,0,0,0,0,2019,19.0,Forward,PL
Todd Cantwell,LW,90.0,1,0,0.5,0.5,0.0,1,1,0,1,0,1,1,0,0,2019,14.0,Forward,PL
Emi Buendía,RW,90.0,0,1,0.0,0.0,0.3,1,1,0,2,4,2,0,0,0,2019,9.0,Forward,PL
Tammy Abraham,FW,75.0,2,0,0.3,0.3,0.1,3,2,0,0,0,0,0,0,0,2019,25.5,Forward,PL
Olivier Giroud,FW,15.0,0,0,0.0,0.0,0.1,0,0,3,0,0,0,0,0,0,2019,-2.0,Forward,PL
Mason Mount,LW,90.0,1,0,0.6,0.6,0.2,5,2,1,0,6,1,0,0,0,2019,16.0,Forward,PL
Christian Pulisic,RW,84.0,0,1,0.2,0.2,0.6,2,0,1,1,1,2,1,0,0,2019,7.5,Forward,PL
Willian,RW,6.0,0,0,0.1,0.1,0.0,1,0,0,0,0,0,0,0,0,2019,1.5,Forward,PL
Callum Robinson,FW,54.0,0,0,0.0,0.0,0.0,0,0,2,0,2,0,1,0,0,2019,-0.5,Forward,PL
Billy Sharp,FW,36.0,0,0,0.0,0.0,0.2,0,0,0,0,0,1,1,0,0,2019,2.0,Forward,PL
David McGoldrick,FW,54.0,0,0,0.0,0.0,0.0,0,0,0,2,1,1,0,0,0,2019,1.5,Forward,PL
Oliver McBurnie,FW,36.0,1,0,0.2,0.2,0.0,1,1,1,1,0,0,0,0,0,2019,12.0,Forward,PL
Jamie Vardy,FW,90.0,1,0,0.4,0.4,0.0,3,2,0,0,0,0,0,0,0,2019,15.5,Forward,PL
Ayoze Pérez,FW,78.0,0,0,0.1,0.1,0.1,1,0,0,1,1,4,1,0,0,2019,4.0,Forward,PL
Harvey Barnes,FW,26.0,1,0,0.0,0.0,0.0,1,1,0,0,1,0,0,0,0,2019,13.0,Forward,PL
